PLZ,Name ,Landkreis,Bundesland
7349,Lehesten,Landkreis Saalfeld-Rudolstadt,Thüringen
56332,"Lehmen, Niederfell, Oberfell, Wolken u.a.",Landkreis Mayen-Koblenz,Rheinland-Pfalz
14797,Lehnin,Landkreis Potsdam-Mittelmark,Brandenburg
99441,Lehnstedt u.a.,Landkreis Weimarer Land,Thüringen
91611,Lehrberg,Landkreis Ansbach,Bayern
38165,Lehre,Landkreis Helmstedt,Niedersachsen
74251,Lehrensteinsfeld,Landkreis Heilbronn,Baden-Württemberg
31275,Lehrte,Landkreis Region Hannover,Niedersachsen
88637,"Leibertingen, Buchheim",Landkreis Sigmaringen,Baden-Württemberg
94339,Leiblfing,Landkreis Straubing-Bogen,Bayern
42799,Leichlingen,Kreis Rheinisch-Bergischer Kreis,Nordrhein-Westfalen
63849,Leidersbach,Landkreis Miltenberg,Bayern
38542,Leiferde,Landkreis Gifhorn,Niedersachsen
69181,Leimen,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
76774,Leimersheim,Landkreis Germersheim,Rheinland-Pfalz
97274,Leinach,Landkreis Würzburg,Bayern
99894,Leinatal,Landkreis Gotha,Thüringen
91227,Leinburg,Landkreis Nürnberger Land,Bayern
37327,"Leinefelde-Worbis, Wingerode, Hausen",Landkreis Eichsfeld,Thüringen
70771,Leinfelden-Echterdingen,Landkreis Esslingen,Baden-Württemberg
74211,Leingarten,Landkreis Heilbronn,Baden-Württemberg
56291,Leiningen,Landkreis Rhein-Hunsrück-Kreis,Rheinland-Pfalz
73575,Leinzell,Landkreis Ostalbkreis,Baden-Württemberg
89340,Leipheim,Landkreis Günzburg,Bayern
4357,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4356,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4349,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4347,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4329,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4328,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4319,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4318,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4317,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4316,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4315,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4299,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4289,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4288,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4279,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4277,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4275,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4249,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4229,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4209,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4207,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4205,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4179,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
